Time,ARNTL,CLOCK,NPAS2,PER1,PER2,PER3,CRY1,CRY2,NR1D1,NR1D2,DBP,TEF,HLF,CIART,RORA,WEE1,SLC2A1,PPARGC1A,ACTB,GAPDH,TUBB,RPL13A,B2M,HPRT1
12.0,6.5973,8.2507,5.2159,9.1128,8.3807,6.9074,7.5086,7.781,7.4039,8.039,10.8899,8.7063,7.7036,7.076,6.7385,7.2194,7.1351,4.8389,13.1254,12.2335,10.8543,12.8115,11.24,8.8516
16.0,6.9301,7.9917,5.912,7.6348,7.5184,6.5471,7.4801,7.8364,7.4423,6.9577,8.7198,7.785,7.1775,6.1531,7.0246,6.5715,7.1758,5.7988,13.0743,12.5662,10.978,12.8411,11.1762,9.2041
16.0,6.8122,8.3709,5.7562,8.0275,7.9612,6.2659,8.0008,7.3504,7.3646,7.1404,8.5711,8.0706,7.5156,5.8899,6.551,6.7462,7.0845,5.9177,13.2797,12.5578,11.1229,12.983,11.5119,9.3488
16.0,6.8497,7.5394,5.8437,7.6344,8.0458,6.7066,7.5291,7.6695,6.6591,6.7822,8.5158,7.7713,7.1055,5.9103,6.9137,7.1479,7.2419,5.5638,13.0332,12.5515,10.6468,12.7204,11.1502,9.1936
20.0,8.0765,8.1234,6.8865,7.1421,6.6479,5.2997,7.4413,6.9995,7.2085,6.7909,7.6049,7.1629,6.5989,5.8167,7.0875,6.6627,6.904,6.5175,12.9831,12.0383,10.9182,13.0168,11.2302,9.4646
20.0,8.6094,8.1473,6.709,7.3051,6.6995,5.5013,7.8083,7.7082,7.2748,7.085,7.6923,7.6825,6.4798,5.6788,7.346,6.6478,7.2224,6.7265,13.1764,12.4756,10.9538,12.9995,11.2517,9.4463
24.0,8.3375,8.2894,7.3927,6.8017,6.0855,5.2859,6.7347,7.7996,8.2932,7.5746,7.3809,7.2292,6.1318,5.8099,6.6655,6.5216,7.1601,6.4097,13.2418,12.272,10.5352,12.8114,11.5654,9.3132
24.0,8.5036,8.4015,7.153,7.4871,6.0594,5.3875,6.792,7.0663,8.7288,7.4514,7.913,7.6076,7.0167,5.6242,6.2973,6.9735,7.8078,6.6397,13.3439,12.5716,11.165,13.3484,11.0905,9.414
24.0,8.0554,8.1694,6.7334,6.8425,6.1794,5.596,6.5798,7.0706,8.2876,7.3275,7.3309,6.9958,6.4764,6.0655,6.1872,6.0055,7.5056,6.801,12.9608,12.4456,10.7566,13.1204,11.155,9.222
28.0,7.7454,7.6059,6.3067,7.8884,5.9041,5.2555,6.2418,7.4419,10.9746,8.52,8.3217,7.3163,6.6211,7.404,6.4556,6.5584,7.7882,6.1343,13.014,12.3086,10.6556,13.0211,11.3136,9.5537
28.0,7.667,7.9875,6.7117,7.5869,6.5194,5.74,6.5974,8.0749,11.6985,8.841,8.6535,7.8301,7.1253,7.1579,6.1927,6.7869,7.4846,5.6076,13.4462,12.6385,10.8516,12.893,11.1199,9.3961
28.0,6.9658,8.1293,6.2507,7.7894,6.2811,5.6697,6.4273,7.2242,11.0664,8.3257,8.1888,7.4946,7.0207,7.2429,5.6019,6.4946,7.3021,5.3651,12.9656,12.1556,10.9207,12.5806,10.9562,9.3783
32.0,6.4025,7.791,5.6343,8.4793,7.2914,6.7975,6.4642,7.8118,10.3317,8.6423,10.7578,8.4375,7.8598,8.9381,5.9557,6.8258,7.1044,4.75,13.2821,12.4945,10.8769,13.051,10.9369,8.916
32.0,6.9661,8.061,6.0526,9.0722,7.3618,7.1062,6.5741,8.1294,10.3442,8.9109,10.953,8.363,7.5271,8.4967,6.1161,7.2039,7.5953,5.4311,13.3031,12.7726,10.8858,12.8858,11.3866,9.511
32.0,6.5931,7.6139,5.4764,8.9023,6.8495,6.7147,6.2547,7.5296,9.838,8.8307,10.7348,8.3239,7.7521,8.7742,5.6156,7.0326,7.2813,4.9492,12.8792,12.3871,10.5866,12.8145,10.8721,9.5406
36.0,6.0616,8.1636,5.2376,8.3676,8.6809,7.7461,7.4695,7.9194,7.4404,7.3967,10.5766,8.6368,7.6895,7.2825,6.7539,7.5313,7.4033,,12.9057,12.3657,10.7275,12.9198,11.4111,9.3691
36.0,6.0268,8.1347,5.1425,8.6204,8.6097,7.6103,7.2143,8.1494,7.4651,8.0227,10.56,8.4889,7.9411,7.8222,6.7089,7.7662,6.8337,5.2733,13.4547,12.6817,10.7921,12.9821,11.234,9.5216
36.0,6.3249,7.7572,4.9825,8.9591,8.9572,7.6531,7.057,7.7472,7.4668,7.4442,10.6375,8.3177,8.1967,7.6088,6.4265,7.4769,7.2205,4.7044,13.0717,12.4771,10.5106,13.0075,10.8098,9.4605
40.0,6.8336,8.0543,5.9847,8.0209,8.1858,6.4829,8.0442,7.6475,6.7951,6.8014,8.3823,8.0054,6.9545,6.3677,6.6944,7.1063,6.9885,5.8804,13.1696,12.259,10.6617,12.8449,11.2058,9.5202
40.0,7.2477,7.9306,5.3788,7.4842,7.715,6.7452,8.0237,8.0775,6.7588,7.4906,8.4538,7.9153,7.7311,5.9622,7.1268,7.5654,7.1834,5.698,13.178,12.5665,11.0358,12.893,11.3623,9.6975
40.0,7.052,8.2957,5.8156,7.7692,7.5743,6.2817,7.5468,7.9391,7.2143,7.0344,8.2918,7.9518,7.2258,5.8982,6.7081,7.3698,6.9503,5.809,13.1127,11.9336,10.6914,12.9221,11.0326,9.4242
44.0,8.3194,8.4376,6.5514,7.1692,6.7945,5.8618,7.4713,7.4245,7.1014,7.0247,7.6658,6.6616,7.0332,5.4741,6.6805,6.4807,7.1425,6.9061,13.3439,12.2738,11.2013,12.9008,11.2159,9.8821
44.0,8.1982,8.5142,6.5864,7.3721,6.675,5.6516,7.5727,7.7896,7.2448,7.0763,7.4371,7.6711,6.2492,5.9864,7.339,6.9586,7.1936,6.3875,13.2297,12.5314,10.8149,12.893,11.4718,9.5144
44.0,8.2675,8.2485,6.1572,7.2917,6.5977,5.8472,7.6738,7.0107,7.2022,6.8572,7.2004,7.2226,5.8927,5.923,6.3331,6.1081,6.9417,6.8909,12.9846,12.5306,10.709,12.8589,11.0046,9.2124
48.0,8.5463,8.2836,6.8189,7.0604,6.63,5.3833,6.7933,7.4562,8.5777,7.3163,7.5667,7.2922,6.3162,5.6328,5.8408,6.6263,7.1649,6.735,13.015,12.4055,10.7444,12.8883,11.0364,9.2164
48.0,8.8188,8.289,7.5948,7.0898,6.414,5.2225,6.7307,7.6402,8.4717,7.0908,7.8109,7.1438,6.4372,5.9576,6.7352,6.3059,7.6073,6.9172,13.3755,12.2941,11.0911,13.0225,11.3433,9.607
48.0,8.3085,8.1262,7.3081,7.18,6.454,4.8268,6.8892,7.6685,8.1637,7.142,7.3704,7.6786,6.6837,6.0375,6.5432,6.3713,7.124,7.025,12.9157,12.5123,10.5359,12.9774,11.0828,9.3823
